#7*7 4*4,,,,,,,,,,
$A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4
0.067327084,0.71209346,0.635456091,0.289126861,0.160902409,0.464610347,0.127907597,0,0,0,0
0.616470241,0.09605933,0.513558835,0.252233876,0.872376304,0.782288247,0.232386627,0,0,0,0
0.548195828,0.738179495,0.172730481,0.82111878,0.842779732,0.339611412,0.830660775,0,0,0,0
0.265119789,0.181776173,0.745731189,0.690565828,0.597163803,0.323186293,0.85408259,0,0,0,0
0.953029463,0.523582681,0.998596966,0.239605742,0.603432584,0.387098231,0.692212734,0,0,0,0
0.014812717,0.817584104,0.876126916,0.032709552,0.51847337,0.209874399,0.048558635,0,0,0,0
0.787940788,0.490977514,0.890186568,0.916146785,0.580344577,0.913642334,0.152890983,0,0,0,0
0.892272592,0.939413285,0.756442354,0.170033224,0.702031255,0.729308564,0.694826291,0,0,0,0
0.264053013,0.174683427,0.103908837,0.046150637,0.722114632,0.902867463,0.442766738,0,0,0,0
0.388258058,0.866416042,0.077831213,0.951725461,0.600278563,0.830596926,0.111842099,0,0,0,0
0.069794642,0.966846548,0.959312548,0.888462809,0.118290623,0.562663449,0.029161223,0,0,0,0
0.976027937,0.919070322,0.079139563,0.114963829,0.766513569,0.638595784,0.349772253,0,0,0,0
0.213701282,0.093400607,0.850766022,0.426087673,0.343111222,0.736817076,0.708421416,0,0,0,0
0.171399721,0.12658029,0.265103328,0.520648452,0.741459778,0.360611991,0.211866438,0,0,0,0
0.762805571,0.627603625,0.333611213,0.945128119,0.197178801,0.11678905,0.65872195,0.713498057,0.837154012,0.132111364,0.677899331
0.830112873,0.517216271,0.192280534,0.830246818,0.244336443,0.889853015,0.198129718,0.506682813,0.448287872,0.977464493,0.441809037
0.527685609,0.778017697,0.441974562,0.769694142,0.333109449,0.156002142,0.905163215,0.389819409,0.392167835,0.756940837,0.977386827
0.656844818,0.883415676,0.785307442,0.616280293,0.436323342,0.254612209,0.927887504,0.19178875,0.969952977,0.574527283,0.41515723
